Time,Latitude,Longitude,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC,counts
1712963530.61,0,0,0.0,1.0,1.0,19.12765625,44.72225608954964,997.7756090561081,129.6389090045002,44142.0,25.6
1712963535.53,0,0,0.0,1.0,1.0,19.50275390625,45.014038956818354,997.3115081410706,133.55202041878562,61871.0,20.8
1712963540.56,0,0,0.0,1.0,1.0,19.77833984375,44.4255753471046,997.2301812294686,134.23789201131285,75336.5,26.0
1712963545.53,0,0,0.0,1.0,1.0,19.89552734375,43.70478798355037,997.205486078692,134.44616839217278,79817.0,24.8
1712963550.55,0,0,0.5,2.0,2.0,19.984492187500003,43.02958635332447,997.1899446588131,134.57724530645217,83104.5,24.4
1712963555.57,0,0,0.0,2.0,2.0,20.105976562499997,42.23592392636198,997.1934609232471,134.54758885277408,87672.0,24.0
1712963560.52,0,0,0.0,2.0,2.0,20.166328125,41.72074110766934,997.183765656163,134.62935969251413,89545.5,25.2
1712963565.56,0,0,0.0,2.0,2.0,20.252070312500003,41.15244100730425,997.1919501355089,134.5603309313953,91704.5,24.4
1712963570.6,0,0,0.0,2.0,2.0,20.30578125,40.87163734206743,997.1935196234665,134.54709377625576,92615.5,23.8
1712963575.53,0,0,0.5,2.0,2.0,20.35783203125,40.65729875012147,997.1924916328587,134.55576390220654,93861.0,25.0
1712963580.6,0,0,1.0,2.0,2.0,20.43107421875,40.41237247252455,997.1946771169097,134.53733139265637,94656.5,26.6
1712963585.55,0,0,0.0,2.0,2.0,20.4794140625,40.25522548280453,997.2058865827398,134.44279056837024,95140.0,22.0
1712963590.63,0,0,0.5,2.0,2.0,20.55001953125,40.034550518185284,997.2111482755938,134.39841362970068,94554.0,25.6
1712963595.62,0,0,1.0,2.0,2.0,20.59123046875,39.90694730419637,997.222968677588,134.29872154989576,95824.0,26.0
1712963600.52,0,0,1.0,2.0,2.0,20.63771484375,39.76500956725215,997.224041307325,134.28967509229233,96209.5,23.4
1712963605.57,0,0,1.0,2.0,2.0,20.70548828125,39.58350289823832,997.2410940651932,134.14585559427124,96543.5,24.0
1712963610.53,0,0,1.0,2.0,2.0,20.74650390625,39.46814444471567,997.2453664436832,134.1098235793411,96823.5,25.4
1712963615.66,0,0,1.0,2.0,2.0,20.80431640625,39.29784755981821,997.237863027656,134.17310535045908,97243.5,26.8
1712963620.52,0,0,1.0,2.0,2.0,20.84240234375,39.20922148406593,997.2384614407067,134.1680584871453,98500.5,25.2
1712963625.52,0,0,1.0,2.0,2.0,20.877265625,39.12030692810255,997.2394550673623,134.15967847934945,98674.5,26.2
1712963630.56,0,0,1.0,2.0,2.0,20.930292968750003,38.98857872012344,997.2371098358416,134.17945759506773,98996.5,21.0
1712963635.57,0,0,1.0,1.0,1.0,20.96427734375,38.893723135150964,997.2294995815312,134.2436408979284,99377.5,25.8
1712963640.56,0,0,1.0,1.0,1.0,21.0114453125,38.752633151714605,997.2116961008834,134.393793316947,99940.5,25.0
1712963645.54,0,0,1.0,2.0,2.0,21.03888671875,38.65426250595823,997.2164662251139,134.3535624443509,99672.5,27.0
1712963650.53,0,0,1.0,1.5,1.5,21.0673046875,38.59766407671848,997.2191406681002,134.33100648146848,100299.5,20.0
1712963655.57,0,0,1.0,1.0,1.0,21.08673828125,38.52234290556575,997.1906774443764,134.5710650414664,99732.0,26.0
1712963660.56,0,0,0.5,1.0,1.0,21.049921875,38.54537391139107,997.1722320851401,134.7266358289726,100571.0,26.6
1712963665.57,0,0,0.0,1.0,1.0,20.98859375,38.726519114709774,997.2113556905967,134.3966643148018,14907.0,29.4
1712963670.52,0,0,1.0,1.0,2.0,20.968769531249997,39.35653162059865,997.221140555266,134.31413967877518,22918.0,24.6
1712963675.53,0,0,1.0,1.0,2.0,20.9649609375,40.21275982923267,997.2088945869327,134.41742113338466,37854.5,24.4
1712963680.6,0,0,1.0,1.0,2.0,20.99201171875,40.732978401019096,997.2121591934055,134.38988760923672,59154.0,27.4
1712963685.53,0,0,1.0,1.0,2.0,21.001093750000003,40.96311393116581,997.219066467671,134.33163227084108,52604.5,28.0
1712963690.58,0,0,1.0,1.0,2.0,21.0284375,41.60399771783324,997.2254920152486,134.27744006262233,57451.0,26.2
1712963695.54,0,0,1.0,2.0,2.0,21.05783203125,41.82543706734142,997.2233664712415,134.2953665682015,60370.5,26.8
1712963700.55,0,0,0.5,1.5,1.5,21.09103515625,41.847221366171524,997.2172286486157,134.34713223110498,64414.5,25.2
1712963705.64,0,0,0.5,1.5,1.5,21.14083984375,41.837421924333896,997.2287829806025,134.2496845854615,67831.0,25.2
1712963710.51,0,0,1.0,2.0,2.0,21.172382812499997,41.82868808799911,997.2272752299414,134.26240069009253,69199.0,25.8
1712963715.61,0,0,1.0,2.0,2.0,21.2137890625,41.708782723164404,997.2320729490065,134.22193760560572,73383.0,22.8
1712963720.54,0,0,1.0,2.0,2.0,21.237910156250003,41.605278804946764,997.2289467667362,134.24830324233903,73320.0,28.6
1712963725.56,0,0,0.5,1.5,1.5,21.26310546875,41.40808936861283,997.2175525449675,134.34440052703525,74462.5,24.0
1712963730.56,0,0,0.0,1.0,1.0,21.3036328125,40.934841217905664,997.2101268781794,134.40702804164357,86137.5,28.6
1712963735.53,0,0,0.0,1.0,1.0,21.3274609375,40.49728922135583,997.2119544204824,134.39161467005738,91246.5,23.0
1712963740.57,0,0,0.0,1.0,1.0,21.3563671875,39.83942217318045,997.2072224396976,134.43152396723954,105989.5,29.8
1712963745.57,0,0,1.0,2.0,2.0,21.36662109375,39.43628233342443,997.2132310702066,134.380847488488,113370.5,27.6
1712963750.53,0,0,0.0,1.0,1.0,21.37130859375,39.0962253852867,997.2024522525664,134.47175566138912,113293.5,26.8
1712963755.57,0,0,0.0,1.0,1.0,21.38390625,38.72197620374834,997.2021671461424,134.4741602509378,114530.0,25.6
1712963760.53,0,0,0.0,0.5,0.5,21.4008984375,38.560052842790654,997.1843215079609,134.62467164918502,114647.5,25.8
1712963765.57,0,0,0.0,0.0,0.0,21.42462890625,38.41679755994224,997.1579779636704,134.84685874486823,115321.5,24.0
1712963770.55,0,0,0.0,0.5,0.5,21.44142578125,38.26702814450675,997.1687359433764,134.75612302549996,115358.5,26.0
1712963775.53,0,0,0.5,1.5,1.5,21.45470703125,38.10814770529691,997.170412715017,134.74198078258092,116643.5,27.2
1712963780.56,0,0,1.0,2.0,2.0,21.483125,37.91834837407943,997.1649025481083,134.78845483976986,115957.0,25.0
1712963785.53,0,0,1.0,1.5,1.5,21.50275390625,37.83147231524508,997.1710245204877,134.7368206494882,115957.0,26.0
1712963790.61,0,0,1.0,1.0,1.0,21.52443359375,37.75668079597173,997.1559355181236,134.8640854131121,115120.0,27.6
1712963795.53,0,0,1.0,1.0,1.0,21.53380859375,37.719151079741565,997.161474490878,134.81736800077908,115917.0,27.6
1712963800.53,0,0,1.0,1.0,1.0,21.5481640625,37.65550727553402,997.1630086602438,134.80442838582178,115558.0,26.4
1712963805.56,0,0,0.0,1.0,1.0,21.5719921875,37.604653591120886,997.1720390546212,134.72826384737053,115239.0,31.8
1712963810.53,0,0,0.0,1.0,1.0,21.58263671875,37.531817147299634,997.164187207431,134.79448821307165,115877.0,28.0
1712963815.62,0,0,1.0,1.0,1.0,21.603535156249997,37.433447301490226,997.1596226557397,134.8329869161355,115717.0,22.6
1712963820.53,0,0,1.0,1.0,1.0,21.614375,37.35480199197047,997.162917460453,134.80519759988596,115917.5,22.6
